iter	Passed	Remaining
0	18	1832
1	35	1725
2	52	1693
3	74	1798
4	98	1870
5	116	1831
6	134	1783
7	154	1773
8	171	1734
9	187	1688
10	203	1649
11	220	1617
12	236	1584
13	253	1555
14	270	1530
15	286	1502
16	302	1476
17	318	1451
18	334	1427
19	351	1406
20	367	1382
21	384	1364
22	402	1347
23	420	1333
24	437	1313
25	455	1297
26	474	1281
27	494	1270
28	512	1253
29	530	1237
30	546	1216
31	562	1195
32	580	1179
33	597	1159
34	613	1139
35	629	1119
36	645	1099
37	663	1082
38	678	1061
39	695	1042
40	711	1023
41	727	1004
42	743	986
43	760	967
44	776	948
45	794	932
46	809	913
47	826	895
48	842	877
49	858	858
50	875	841
51	891	822
52	907	804
53	923	786
54	939	768
55	957	752
56	974	734
57	990	717
58	1007	700
59	1023	682
60	1040	665
61	1056	647
62	1072	629
63	1090	613
64	1106	595
65	1122	578
66	1139	561
67	1155	543
68	1171	526
69	1187	509
70	1203	491
71	1219	474
72	1235	457
73	1251	439
74	1267	422
75	1283	405
76	1299	388
77	1316	371
78	1332	354
79	1348	337
80	1365	320
81	1381	303
82	1397	286
83	1414	269
84	1431	252
85	1447	235
86	1463	218
87	1479	201
88	1496	184
89	1512	168
90	1528	151
91	1544	134
92	1560	117
93	1577	100
94	1593	83
95	1609	67
96	1626	50
97	1642	33
98	1658	16
99	1675	0
